name,category,address,postcode,lat,lng,phone,website,price_range
Scarisbrick Hotel Southport,restaurants,"239 Lord Street, Southport",,53.6475873,-3.007681400000001,,,
Prince of Wales Hotel Southport,restaurants,"Lord Street, Southport",,53.645548,-3.008915399999999,,,
The Vincent Hotel,restaurants,"98 Lord Street, Southport",,53.6466408,-3.007189,,,
Premier Inn Southport Central hotel,restaurants,"Waterside Lodge, Marine Drive, Southport",,53.6512068,-3.014047699999999,,,
The Bold Hotel,restaurants,"583 Lord Street, Southport",,53.65116640000001,-3.0009283,,,
Dukes Folly Hotel,restaurants,"11 Duke Street, Southport",,53.6437693,-3.0118374,,,
Royal Clifton Hotel Southport,restaurants,"Promenade, Southport",,53.6471436,-3.0104656,,,
Crete Greek Taverna,restaurants,"20A Gordon Street, Southport",,53.6519622,-3.0002133,,,
Volare,restaurants,"613-619 Lord Street, Southport",,53.65159629999999,-3.0002556,,,
Chez Moi,restaurants,"569 Lord Street, Southport",,53.6509323,-3.0013869,,,
Subway,restaurants,"6 Eastbank Street, Southport",,53.64658379999999,-3.0066626,,,
Subway,restaurants,"148-150 Cambridge Road, Churchtown, Southport",,53.6610525,-2.9661806,,,
Curry House Indian Takeaway,restaurants,"3, Crown Buildings, 2 Liverpool Road, Southport",,53.6173855,-3.0159781,,,
Birkdale Tandoori,restaurants,"23 Upper Aughton Road, Southport",,53.636879,-3.00914,,,
Straits Kitchen,restaurants,"101 Lytham Road, Southport",,53.6699188,-2.966130499999999,,,
Vincent Café & Restaurant,restaurants,"98 Lord Street, Southport",,53.64659540000001,-3.0074051,,,
Lal Qila Takeaway,restaurants,"6 High Park Road, Southport",,53.65298989999999,-2.965637499999999,,,
The Thatch and Thistle,restaurants,"147 Norwood Road, Southport",,53.6394882,-2.97297,,,
The Lotus,restaurants,"1 Clifford Road, Southport",,53.6228311,-3.012132,,,
The Sandgrounder Traditional Fish & Chips,restaurants,"60-62 Nevill Street, Southport",,53.650298,-3.0066091,,,
Croziers of Birkdale,restaurants,"13A Liverpool Road, Southport",,53.63427780000001,-3.013376,,,
Barton Butchers (W. Barton & Sons Ltd),restaurants,"82A Old Park Lane, Southport",,53.6501212,-2.9675403,,,
Bistrot Pierre - Southport,restaurants,"377-385 Lord Street, Southport",,53.6490916,-3.0046268,,,
Just Wings Southport,restaurants,"4-6 Cable Street, Southport",,53.64922079999999,-3.005829599999999,,,
Caffe Dolce (Southport) Ltd,restaurants,"409 Lord Street, Southport",,53.64937810000001,-3.004318,,,
